Key;Type;Values;Description
operator;;SearchPersonList/ SearchPersonList-Ack;SearchPersonList:Multi personlist query Searchpersonlist ack: multi personlist query return
messageId;String;;Message ID, distinguish eachmessage
info;;;concrete content
facesluiceId;String;;The ID of face recognition all-in-onemachine. When the specific keyvalue is passed in, the matchingmachine will be assigned to execute. If not, all machines that subscribetothe same topic will be executed
personType;int (optional);0~2;List type 0:Whitelist 1:Blacklist 2:All
BeginTime;String (optional);2018-08-13T00:00:00;Starting time of search
EndTime;String (optional);2020-08-19T23:59:59;The end time of the search
gender;int (optional);0~2;Gender 0:Male 1:Female 2:All
cardNum2;unsigned int (optional);;Access card number (reserved)
name;String (optional);;full name
BeginNO;int (optional);Default:0;Query the starting position of the list, that is, from whomto start
RequestCount;int (optional);1 ~ 2000 (default: 100);The total number of messages returned from the query list is upto2000 (without pictures at present). If it is set to be more than 2000, only2000 messages will be returned.
Picture;int;0~1;Include picture information(reserved)
TotalPersonNum;int;;Total number of matching lists, return parameters
PersonNum;int;;Return the number of matchinglistsat a time and return parameters
List;;;Match list JSON array, returnparameters
